FLOWNO:string,FLOWTYPE:string,START:string,END:string,LEVEL:int
1,Debt,Maintenance,Assembly,"2,00"
2,Debt,Procurement,Assembly,"2,00"
3,Debt,Procurement,Controlling,"1,00"
4,Debt,Logistics,Aftermarket Service,"1,00"
5,Debt,Logistics,Assembly,"2,00"
6,Debt,Maintenance,Controlling,"1,00"
7,Debt,Maintenance,Distribution,"1,00"
8,Debt,Manufacturing,Aftermarket Service,"1,00"
9,Debt,Assembly,Aftermarket Service,"1,00"
10,Debt,Logistics,Controlling,"1,00"
11,Debt,Research & Development,Aftermarket Service,"1,00"
12,Debt,Project Management,Controlling,"3,00"
13,Debt,Distribution,Controlling,"1,00"
14,Debt,Manufacturing,Controlling,"1,00"
15,Debt,Assembly,Controlling,"1,00"
16,Debt,Aftermarket Service,Controlling,"1,00"
17,Debt,Research & Development,Controlling,"1,00"
18,Debt,Quality Management,Controlling,"1,00"
19,Debt,Quality Management,Controlling,"1,00"
20,Debt,Contractor,Maintenance,"1,00"
21,Debt,Controlling,Quality Management,"1,00"
22,Debt,Corporate Governance,Controlling,"1,00"
23,Debt,Procurement,Logistics,"2,00"
24,Debt,Environmental Social Governance,Controlling,"1,00"
25,Debt,Logistics,Maintenance,"1,00"
26,Debt,Maintenance,Logistics,"1,00"
27,Debt,Procurement,Maintenance,"1,00"
28,Debt,Procurement,Manufacturing,"2,00"
29,Debt,Marketing,Project Management,"1,00"
30,Debt,Supplier,Project Management,"1,00"
31,Debt,Maintenance,Manufacturing,"2,00"
32,Debt,Logistics,Manufacturing,"2,00"
33,Debt,Aftermarket Service,Research & Development,"2,00"
34,Debt,Aftermarket Service,Assembly,"2,00"
35,Defect,Quality Management,Aftermarket Service,"2,00"
36,Defect,Quality Management,Assembly,"3,00"
37,Defect,Corporate Governance,Research & Development,"1,00"
38,Defect,Procurement,Logistics,"2,00"
39,Defect,Environmental Social Governance,Aftermarket Service,"1,00"
40,Defect,Environmental Social Governance,Assembly,"1,00"
41,Defect,Environmental Social Governance,Manufacturing,"1,00"
42,Defect,Environmental Social Governance,Procurement,"1,00"
43,Defect,Environmental Social Governance,Research & Development,"1,00"
44,Defect,Quality Management,Manufacturing,"3,00"
45,Defect,Quality Management,Procurement,"2,00"
46,Defect,Human Resources,Aftermarket Service,"1,00"
47,Defect,Human Resources,Assembly,"1,00"
48,Defect,Human Resources,Distribution,"1,00"
49,Defect,Human Resources,Logistics,"1,00"
50,Defect,Human Resources,Maintenance,"1,00"
51,Defect,Human Resources,Manufacturing,"1,00"
52,Defect,Marketing,Research & Development,"1,00"
53,Defect,Quality Management,Research & Development,"2,00"
54,Defect,Research & Development,Procurement,"2,00"
55,Defect,Research & Development,Project Management,"1,00"
56,Defect,Research & Development,Quality Management,"2,00"
57,Defect,Procurement,Project Management,"2,00"
58,Defect,Procurement,Quality Management,"1,00"
